Title,Year,Age,IMDB,Rotten Tomatoes
Lab Rats,2012,7+,6.6,
America's Funniest Home Videos,1989,7+,6.2,
Brain Games,2011,7+,8.3,
Jessie,2011,all,5.9,
PJ Masks,2015,all,5.6,
Best Friends Whenever,2015,all,5.5,
The Simpsons,1989,7+,8.7,85%
Gravity Falls,2012,7+,8.9,100%
Marvel's Runaways,2017,16+,7,87%
Star vs. the Forces of Evil,2015,7+,8,
X-Men: Evolution,2000,7+,7.9,
Good Luck Charlie,2010,all,7,
K.C. Undercover,2015,all,6.1,
Doug,1991,all,7.4,
Life Below Zero,2013,7+,8,
Running Wild with Bear Grylls,2014,7+,7.7,
The Incredible Dr. Pol,2011,7+,8.6,
Doc McStuffins,2012,all,6.7,
Handy Manny,2006,all,5.5,
Sheriff Callie's Wild West,2013,all,6.4,
Henry Hugglemonster,2013,all,5.2,
Holiday Magic,2017,,7,
Out There with Jack Randall,2019,,6.9,
Lost Treasures of Egypt,2019,,,
The Mandalorian,2019,7+,8.7,93%
Star Wars: The Clone Wars,2008,7+,8.2,93%
Marvel's Agent Carter,2015,7+,7.9,86%
Star Wars Rebels,2014,7+,8,100%
DuckTales,2017,7+,8.2,100%
X-Men,1992,7+,8.4,85%
One Strange Rock,2018,all,8.8,83%
Spider-Man,1994,all,8.3,
High School Musical: The Musical: The Series,2019,7+,7.3,79%
Boy Meets World,1993,all,8.1,
The Imagineering Story,2019,7+,9.1,100%
Phineas and Ferb,2007,all,7.9,
DuckTales,1987,7+,8.1,
Wizards of Waverly Place,2007,all,6.8,
Lizzie McGuire,2001,all,6.6,100%
Kim Possible,2002,7+,7.2,
Recess,1997,7+,7.8,
Wolverine and the X-Men,2008,7+,8,67%
That's So Raven,2003,all,6.5,
The Avengers: Earth's Mightiest Heroes,2010,7+,8.3,
The World According to Jeff Goldblum,2019,7+,7.9,82%
Gargoyles,1994,7+,8.1,
Chip 'n' Dale Rescue Rangers,1989,all,7.6,
The Suite Life of Zack & Cody,2005,all,6.5,
Girl Meets World,2014,all,7.2,
Darkwing Duck,1991,7+,7.6,
Marvel's Ultimate Spider-Man,2012,7+,7.1,
Disney Gallery / Star Wars: The Mandalorian,2020,7+,8.5,
TRON: Uprising,2012,7+,8.2,
The Suite Life on Deck,2008,all,6.3,
TaleSpin,1990,all,7.6,
Gordon Ramsay: Uncharted,2019,,8,83%
The Muppets,2015,7+,7.4,64%
Disney's Adventures of the Gummi Bears,1985,all,7.5,
Rapunzel's Tangled Adventure,2017,all,7.6,
Mickey Mouse Clubhouse,2006,all,5.7,
Hannah Montana,2006,all,5,
Kickin' It,2011,all,6.3,
Violetta,2012,all,5.2,
Marvel's Avengers Assemble,2013,7+,7,
I am Luna,2016,,6.8,
Even Stevens,2000,all,7.6,
Austin & Ally,2011,all,5.9,
Star Wars Resistance,2018,7+,4.9,92%
Prop Culture,2020,7+,8.6,
Andi Mack,2017,all,7.2,
Sonny with a Chance,2009,all,6.1,
The New Adventures of Winnie the Pooh,1988,all,7.6,
Dog Whisperer,2004,all,8,
Little Einsteins,2005,all,6.2,
Raven's Home,2017,all,7.4,
Marvel's Inhumans,2017,7+,5,11%
Marvel's Spider-Man,2017,7+,6.1,
So Weird,1999,7+,8.5,
Diary of a Future President,2020,7+,5.5,100%
Timon & Pumbaa,1995,all,7.1,
Milo Murphy's Law,2016,all,7.5,
Shake It Up,2010,all,4.8,
Marvel's Guardians of the Galaxy,2015,7+,7.4,
Lilo & Stitch: The Series,2003,all,6.8,
Hercules,1998,all,6.6,
Wicked Tuna,2012,16+,6.6,
Encore!,2019,7+,7.4,68%
Big City Greens,2018,7+,6.7,
Phil of the Future,2004,all,7,
The Proud Family,2001,all,6.4,
Elena of Avalor,2016,all,6.4,
Spider-Man Unlimited,1999,7+,6.5,50%
Amphibia,2019,7+,7.9,
