Title,Year,Age,IMDB,Rotten Tomatoes
Attack on Titan,2013,16+,8.8,94%
Fullmetal Alchemist: Brotherhood,2009,18+,9.1,100%
Community,2009,7+,8.5,88%
Parks and Recreation,2009,16+,8.6,93%
Twin Peaks,1990,18+,8.8,89%
One-Punch Man,2015,16+,8.8,100%
The Good Place,2016,16+,8.2,97%
Grey's Anatomy,2005,16+,7.6,83%
Arrested Development,2003,16+,8.7,75%
How to Get Away with Murder,2014,16+,8.1,88%
Family Guy,1999,18+,8.1,71%
Pretty Little Liars,2010,16+,7.4,81%
The Twilight Zone,1959,7+,9,82%
Star Trek: The Next Generation,1987,7+,8.6,89%
The Good Wife,2009,16+,8.3,94%
Death Note,2006,18+,9,
Burn Notice,2007,7+,7.9,88%
American Horror Story,2011,18+,8,
Star Trek,1966,7+,8.3,80%
Good Girls,2018,16+,7.9,87%
Mushi-Shi,2005,16+,8.5,100%
Hunter x Hunter,2011,16+,8.9,
Naruto,2002,7+,8.3,
Star Trek: Deep Space Nine,1993,7+,7.9,90%
Law & Order: Special Victims Unit,1999,16+,8,
Mystery Science Theater 3000,1988,7+,8.5,80%
Star Trek: Voyager,1995,7+,7.8,77%
Bleach,2004,18+,8.1,
Haikyu!!,2014,16+,8.7,
Soul Eater,2008,16+,7.8,100%
Merlin,2008,7+,7.9,
Absolutely Fabulous,1992,16+,8.1,96%
Malcolm in the Middle,2000,7+,8,
Case Closed,1996,16+,8.4,
Fairy Tail,2009,16+,8,
Pokémon,1997,7+,7.5,
Cheers,1982,7+,7.8,
Star Trek: Enterprise,2001,7+,7.5,50%
JoJo's Bizarre Adventure,2012,18+,8.4,
ERASED,2016,16+,8.5,
Rurouni Kenshin,1996,16+,8.5,
InuYasha,2000,16+,7.9,
Descendants of the Sun,2016,16+,8.4,
Your Lie in April,2014,7+,8.6,
Ancient Aliens,2010,7+,7.3,
Sword Art Online,2012,16+,7.6,
Parasyte -the maxim-,2014,18+,8.4,
Private Practice,2007,16+,6.6,51%
Akame ga Kill!,2014,18+,7.9,
Rake,2010,16+,8.6,100%
H2O: Just Add Water,2006,all,7.2,
Black Butler,2008,16+,7.8,
Animaniacs,1993,all,7.9,
CSI: Miami,2002,16+,6.4,
My Little Pony: Friendship Is Magic,2010,7+,7.6,
Ouran High School Host Club,2006,16+,8.2,
The Curse of Oak Island,2014,7+,7,
Clannad,2007,7+,7.9,
We Bare Bears,2015,7+,7.9,
Vampire Knight,2008,16+,7.5,
Taken,2017,16+,6.6,32%
Forensic Files,1996,16+,8.8,
Magi,2012,16+,7.9,
Is It Wrong to Try to Pick Up Girls in a Dungeon?,2015,16+,7.4,
America's Funniest Home Videos,1989,7+,6.2,
Durarara!!,2010,16+,7.9,
Puella Magi Madoka Magica,2011,16+,8.3,
Maid Sama!,2010,16+,8,
Boys Over Flowers,2009,16+,8,
Fate/stay night [Unlimited Blade Works],2014,18+,8,
Fate/stay night,2006,18+,7.4,
Yu-Gi-Oh!,1998,,7.9,
Blue Exorcist,2011,16+,7.5,
K-ON!,2009,16+,7.6,
"Drugs, Inc.",2010,16+,7.8,
"Love, Chunibyo & Other Delusions",2012,16+,7.4,
The Cleveland Show,2009,16+,5.5,
Monthly Girls' Nozaki-kun,2014,7+,7.7,
The Code,2014,,7.4,
Offspring,2010,16+,8.2,
Billy on the Street,2011,16+,7.7,
Cold Case Files,1999,18+,8,
Sonic x,2003,16+,6.1,
Girls und Panzer,2012,16+,7.5,
Hoarders,2009,7+,6.4,
Champions,2018,7+,6,63%
Sword Art Online Alternative: Gun Gale Online,2018,16+,6.8,
Hellevator,2015,18+,6,
"Acero, Woman of Steel",2014,16+,7.2,
Ultraviolet,2017,18+,7,
Hangar 1: The UFO Files,2015,7+,7.4,
Marlon,2017,7+,7,
The Dick Van Dyke Show,1961,all,6.8,
Pocoyo,2005,all,7.5,
Skin Wars,2014,16+,7.1,
Dueños del Paraíso,2015,16+,7.1,
Great British Menu,2006,,7.3,
Nazi Megastructures,2013,all,8,
El Clon,2000,,6.8,
Yu-Gi-Oh! Arc-V,2014,7+,6.2,
America's Book of Secrets,2012,7+,7,
Fated to Love You,2008,7+,7.4,
The Bachelor,2002,16+,3.2,
Rabbids Invasion,2013,7+,5,
Chuggington,2008,all,5.9,
Steampunk'd,2015,,5.8,
Nura: Rise of the Yokai Clan,2010,,7.6,
Oddbods,2015,7+,6.3,
Yu-Gi-Oh! Zexal,2011,7+,4.8,
Inside the Criminal Mind,2018,18+,5.4,
LEGO Friends,2012,all,5.2,
