Title,Year,Age,IMDB,Rotten Tomatoes
Parks and Recreation,2009,16+,8.6,93%
Star Trek: The Next Generation,1987,7+,8.6,89%
The Good Wife,2009,16+,8.3,94%
Schitt's Creek,2015,16+,8.4,50%
Burn Notice,2007,7+,7.9,88%
American Horror Story,2011,18+,8,
Star Trek,1966,7+,8.3,80%
Mushi-Shi,2005,16+,8.5,100%
Star Trek: Deep Space Nine,1993,7+,7.9,90%
Law & Order: Special Victims Unit,1999,16+,8,
Extras,2005,16+,8.3,89%
Star Trek: Voyager,1995,7+,7.8,77%
Merlin,2008,7+,7.9,
Queer as Folk,1999,18+,8.2,100%
Heartland,2007,7+,8.4,45%
Pokémon,1997,7+,7.5,
Cheers,1982,7+,7.8,
Star Trek: Enterprise,2001,7+,7.5,50%
Rurouni Kenshin,1996,16+,8.5,
Descendants of the Sun,2016,16+,8.4,
Ancient Aliens,2010,7+,7.3,
Beauty and the Beast,2012,16+,7,51%
Saint Seiya,1986,7+,8.4,
Rake,2010,16+,8.6,100%
H2O: Just Add Water,2006,all,7.2,
The Andy Griffith Show,1960,all,8.3,
NOVA,1974,7+,8.7,
LEGO Ninjago: Masters of Spinjitzu,2012,all,6.8,
Forensic Files,1996,16+,8.8,
Robotech,1985,7+,8.5,
Power Rangers,1993,7+,6.4,73%
Yu-Gi-Oh!,1998,,7.9,
Republic of Doyle,2010,16+,7.2,
Intelligence,2006,,8.2,
Deep Water,2016,,6.9,
Sonic x,2003,16+,6.1,
Highway to Heaven,1984,7+,6.7,
Hangar 1: The UFO Files,2015,7+,7.4,
The Legend of Bruce Lee,2008,,7,
Super Wings!,2015,all,6.2,
Pocoyo,2005,all,7.5,
Yu-Gi-Oh! Arc-V,2014,7+,6.2,
America's Book of Secrets,2012,7+,7,
Dharmakshetra,2014,,7.8,
The Garfield Show,2009,all,5.3,
The Kindness Diaries,2017,,8.1,
Granblue Fantasy: The Animation,2017,,6.4,
Geronimo Stilton,2009,all,6.7,
Raja Rasoi Aur Anya Kahaniyan,2015,,8.8,
The Cat in the Hat Knows a Lot About That!,2010,all,6.5,
Pac-Man and the Ghostly Adventures,2013,7+,4.8,
Pop Team Epic,2018,18+,6.8,
Oddbods,2015,7+,6.3,
Wildest Islands,2012,,8.1,
West Coast Customs,2011,,6.1,
Bernard,2006,7+,6.1,
Moving On,2009,,7.3,
Molang,2015,all,8.4,
Mother Goose Club,2010,,7.4,
Yu-Gi-Oh! Zexal,2011,7+,4.8,
Horrid Henry,2006,7+,6.1,
Booba,2014,all,7.1,
Storage Wars: Northern Treasures,2017,18+,5.7,
LEGO Friends,2012,all,5.2,
Bat Pat,2016,,,
Some Assembly Required,2014,all,3.5,
Ocean Mysteries with Jeff Corwin,2011,all,8.2,
Sniffer,2013,,6.6,
Earth to Luna!,2014,all,7.4,
Nurses Who Kill,2016,,5.9,
Hoff the Record,2015,16+,6.9,
Battlefield Recovery,2016,,6.5,
Pororo the Little Penguin,2003,all,5.8,
Unplanned America,2014,,7.8,
Tayo the Little Bus,2010,,5.5,
Inside the Mind of a Serial Killer,2015,,,
Vinnie Jones' Toughest Cops,2009,,7,
Mary Portas: Secret Shopper,2011,,6.6,
Hey Qween,2018,,5.8,
LEGO Friends: Girls on a Mission,2018,all,7,
Robot Trains,2017,all,5.4,
Тобот,2010,,6.2,
Momo Salon,2014,7+,,
Vroomiz,2012,,4.9,
Power Battle Watch Car,2016,,,
ViR: The Robot Boy,2013,,2.8,
Miniforce,2016,,,
Wildest Middle East,2015,,,
Corvette Nation,2013,7+,,
My Little Baby,2016,,,
Vikings,2013,18+,8.5,93%
Pride and Prejudice,1995,all,8.9,88%
Mr. Bean,1990,all,8.5,100%
30 Rock,2006,16+,8.2,85%
Black Books,2000,7+,8.5,100%
Bones,2005,16+,7.8,90%
Peep show,2003,18+,8.6,96%
RuPaul's Drag Race,2009,16+,8.5,83%
Blue Bloods,2010,16+,7.5,91%
Workaholics,2011,18+,8.1,86%
Dead Like Me,2003,16+,8.1,87%
Elfen Lied,2004,18+,8,100%
Stargate SG-1,1997,7+,8.4,
Awkward.,2011,16+,7.5,78%
Chicago P.D.,2014,16+,8.1,
Stargate Universe,2009,16+,7.6,70%
Survivor,2000,7+,7.2,
Stargate Atlantis,2004,7+,8.1,
NYPD Blue,1993,18+,7.5,84%
Cougar Town,2009,7+,6.9,89%
Blackadder,1983,7+,8.1,
The Hitchhiker's Guide to the Galaxy,1981,7+,8,67%
Sesame Street,1969,all,8.1,
Hell's Kitchen,2005,16+,7.1,
The Amazing Race,2001,7+,7.6,
Ghost Whisperer,2005,7+,6.3,
Psycho-Pass,2012,16+,8.2,
Shameless,2004,18+,8,
Yu Yu Hakusho,1992,16+,8.4,100%
Flashpoint,2008,16+,7.7,
America's Next Top Model,2003,7+,5.5,
Rugrats,1991,all,7.4,
Spiral,2005,7+,8.5,
Dawson's Creek,1998,16+,6.6,
Forged in Fire,2015,7+,8.4,
Robin of Sherwood,1984,,8.5,
Yu-Gi-Oh! GX,2004,all,6.7,
The League of Gentlemen,1999,18+,8.4,
Silent Witness,1996,16+,7.8,
How the Universe Works,2010,7+,9,
The Outer Limits,1995,18+,7.7,
Darker than Black,2007,16+,7.7,
Highlander: The Series,1992,16+,7.2,
Sense and Sensibility,2008,16+,8,
Survivorman,2004,7+,8.2,
River Monsters,2009,7+,8.2,
Man vs. Wild,2006,7+,8.1,
DCI Banks,2011,18+,7.6,
Kenichi The Mightiest Disciple,2006,16+,8.2,
The Joy of Painting,1983,all,9.4,
McLeod's Daughters,2001,16+,7.2,
The Pink Panther Show,1964,all,7.6,
The Guardian,2001,7+,7.4,
Wolfblood,2013,7+,7.7,
Being Erica,2009,16+,7.5,
Dark Shadows,1966,7+,7.5,
Medium,2005,16+,6.9,
Unsolved Mysteries,1987,7+,8.3,
Married at First Sight,2014,16+,6.3,
Big Time Rush,2009,all,6.2,
Horrible Histories,2009,7+,8.8,
The Rifleman,1958,7+,8.3,
The Greatest American Hero,1981,7+,7.3,
Jeremiah,2002,18+,7,
Storage Wars,2010,7+,6.4,
Un village français,2009,,8.3,
Melrose Place,1992,16+,5.8,
Locked Up Abroad,2006,16+,8.2,
City Homicide,2001,,7.4,
Baywatch,1989,7+,5.3,
Cardfight!! Vanguard,2011,16+,7.2,
Whose Line Is It Anyway? (UK),1988,7+,8.2,
Deadly Women,2005,16+,8,
Bring It!,2014,7+,6.6,
7th Heaven,1996,7+,5.2,
The Slap,2015,16+,7.6,67%
Buzzfeed Unsolved: Supernatural,2016,,8.7,
Say Yes to the Dress,2007,7+,5.6,
Father Knows Best,1954,all,7.4,
BuzzFeed Unsolved - True Crime,2016,,8.9,
The Passing Bells,2014,,6.9,
Swamp People,2010,7+,6.3,
The Hills,2006,7+,3.5,52%
Paradox,2009,16+,7.1,
The Lowe Files,2017,7+,6.7,60%
The Electric Company,1971,all,8.1,
Quick Draw,2013,,7.6,
Himouto! Umaru-chan,2015,16+,7,
Criminal Minds: Suspect Behavior,2011,16+,6.3,42%
Astro Boy,1980,all,7.3,
Little Women: LA,2014,16+,5.4,
Rick Steves' Europe,2000,all,8.4,
Princess Tutu,2002,16+,8.1,
James May's Man Lab,2010,,7.8,
Cold Squad,1998,16+,6.9,
Monster Rancher,1999,7+,7.1,
Yu-Gi-Oh! 5D's,2008,all,6.7,
Worth It,2016,,8.6,
The Gumby Show,1955,all,7,
Madeline,1993,all,6.9,
Ruyi's Royal Love in the Palace,2018,,7.6,
Curiosity,2011,16+,7.8,
Anyone But Me,2009,16+,7.1,
StarTalk with Neil deGrasse Tyson,2015,all,7.8,
Total Wipeout,2009,,6,
The First 48 Presents: Homicide Squad Atlanta,2019,16+,8.5,
Bleak House,1985,,7.4,
Here's Lucy,1968,all,6.9,
The Tesla Files,2018,,7.3,
Caillou,1998,all,4.1,
Match Game,1973,16+,6,
Sex Sent Me to the ER,2013,18+,5.4,
Scorned: Love Kills,2012,16+,6.8,
The High Fructose Adventures of Annoying Orange,2012,7+,2,
Special A,2008,16+,7.3,
David Copperfield,1966,all,7.3,
Kids Behind Bars: Life or Parole,2019,,6.8,
Swiss Family Robinson,1974,7+,7,
Toddlers & Tiaras,2009,7+,1.8,
Sea Rescue,2012,all,8.8,
Murder on the Internet,2017,,7.2,
The Young Turks,2005,16+,5.5,
Psychic Investigators,2006,7+,7.2,
Iconic Characters,2018,,7,
New York Goes to Work,2009,,4.9,
Outsmarted,2017,,7.9,
Chloe's Closet,2010,all,6.7,
Ladylike,2016,,5.9,
Rudy Maxas World,2008,all,8,
Crime Inc.,2010,,6.5,
Behind Tasty,2017,,,
Handcrafted,2017,,,
Run,2013,,,
It's Alive with Brad,2018,,,
Gourmet Makes,2018,,,
Videofashion! News,2006,,5.6,
#ThatsHarassment,2018,,,
Actually Me,2017,,,
Stone Age The Legendary Pet,2018,,,
Chickenwatch,2018,,,
Kids Try,2016,,,
Lie Detector Test,2018,,,
Asia's Underworld,2012,,,
Hello World,2016,,,
You Sang My Song,2017,,,
Homebuddies,2017,,,
All the Pizza,2016,,,
Eating Your Feed,2018,,,
Feed Famous,2018,,,
Tasty 101,2016,,,
Back to Back Chef,2017,,,
Struggle Meals,2017,,,
Talks at GS,2017,,,
Luke Gamble's Vet Adventures,2010,,,
Wedding Season,2017,,,
Tasty's Made By Hand,2018,,,
Tasting Our Roots,2017,,,
Working 24 Hours At...,2015,,,
Mom In Progress,2018,,,
"I Draw, You Cook",2018,,,
Rudy Maxa's Travel,2001,,,
WIRED's Autocomplete Interviews,2016,,,
Out of Office with Brent Rose,2015,,,
Bogus Beauty,2017,,,
pocket.watch Challenge Squad,2018,,,
The Wire,2002,18+,9.3,94%
Band of Brothers,2001,18+,9.4,94%
The Sopranos,1999,18+,9.2,92%
House,2004,16+,8.7,90%
Mr. Robot,2015,18+,8.5,94%
Suits,2011,16+,8.5,90%
The Boys,2019,18+,8.7,84%
The Expanse,2015,16+,8.5,93%
Fleabag,2016,18+,8.7,100%
Rome,2005,18+,8.7,86%
Bosch,2014,18+,8.4,97%
The Marvelous Mrs. Maisel,2017,18+,8.7,89%
Hannibal,2013,18+,8.5,92%
Curb Your Enthusiasm,2000,18+,8.7,92%
Boardwalk Empire,2010,18+,8.5,92%
The Americans,2013,18+,8.4,96%
Luther,2010,16+,8.5,88%
Orphan Black,2013,18+,8.3,93%
Six Feet Under,2001,18+,8.7,81%
Upload,2020,,8.2,81%
Chuck,2007,7+,8.2,89%
Psych,2006,7+,8.3,89%
Deadwood,2004,18+,8.6,92%
The Man in the High Castle,2015,18+,8,84%
Veep,2012,18+,8.3,93%
Banshee,2013,18+,8.4,89%
Oz,1997,18+,8.7,89%
Tom Clancy's Jack Ryan,2018,18+,8.1,71%
True Blood,2008,18+,7.8,70%
Good Omens,2019,7+,8.1,84%
Teen Wolf,2011,16+,7.6,81%
The Pacific,2010,18+,8.3,91%
Grimm,2011,16+,7.8,89%
The Fall,2013,18+,8.2,84%
The Night Manager,2016,16+,8.1,91%
The Grand Tour,2016,16+,8.7,66%
The Newsroom,2012,16+,8.6,59%
Counterpart,2017,18+,8.1,100%
Californication,2007,18+,8.3,57%
Homecoming,2018,16+,7.5,98%
Flight of the Conchords,2007,16+,8.5,94%
Entourage,2004,16+,8.4,66%
Sneaky Pete,2015,18+,8.2,96%
Downton Abbey,2010,16+,8.7,
Undone,2019,18+,8.2,100%
Generation Kill,2008,18+,8.5,86%
Humans,2015,16+,8,94%
